,DATE,Genco,TYPE,Generated,Installed_Capacity,Capacity_Utilization
159,2025-05-08,TRANS AFAM POWER,,,1074.0,5.110955927995034
160,2025-05-08,TRANS-AMADI,GAS,,136.0,3.848039215686274
161,2025-05-08,ZUNGERU,,,700.0,40.98214285714285
162,2025-05-09,AFAM VI,GAS/STEAM,,776.0,34.149484536082475
163,2025-05-09,AZURA-EDO IPP,GAS,,461.0,83.21583514099783
164,2025-05-09,DADINKOWA G.S,HYDRO,,,
165,2025-05-09,DELTA,GAS,,,
166,2025-05-09,EGBIN,STEAM,,1320.0,55.833333333333336
167,2025-05-09,GEREGU,GAS,,434.0,58.29493087557604
168,2025-05-09,GEREGU NIPP,GAS,,,
169,2025-05-09,GPAL,GAS,,1020.0,1.1387663398692809
170,2025-05-09,JEBBA,HYDRO,,578.0,60.90686274509803
171,2025-05-09,KAINJI,HYDRO,,760.0,54.55592105263158
172,2025-05-09,ODUKPANI NIPP,GAS,,,
173,2025-05-09,OKPAI,GAS/STEAM,,480.0,55.78993055555556
174,2025-05-09,OLORUNSOGO,GAS,,676.0,21.058925049309664
175,2025-05-09,OLORUNSOGO NIPP,GAS,,,
176,2025-05-09,OMOKU,GAS,,225.0,14.66296296296296
177,2025-05-09,OMOTOSHO,GAS,,451.0,37.60162601626016
178,2025-05-09,PARAS ENERGY,GAS,,96.0,106.9140625
179,2025-05-09,SHIRORO,HYDRO,,600.0,44.47631944444444
180,2025-05-09,TRANS AFAM POWER,,,1074.0,9.545701427684667
181,2025-05-09,TRANS-AMADI,GAS,,136.0,5.24203431372549
182,2025-05-09,ZUNGERU,,,700.0,40.648809523809526
183,2025-05-10,AFAM VI,GAS/STEAM,,776.0,34.149484536082475
184,2025-05-10,AZURA-EDO IPP,GAS,,461.0,84.79754157628344
185,2025-05-10,DADINKOWA G.S,HYDRO,,,
186,2025-05-10,DELTA,GAS,,,
187,2025-05-10,EGBIN,STEAM,,1320.0,60.03156565656565
188,2025-05-10,GEREGU,GAS,,434.0,63.623271889400925
189,2025-05-10,GEREGU NIPP,GAS,,,
190,2025-05-10,GPAL,GAS,,1020.0,2.444321895424837
191,2025-05-10,JEBBA,HYDRO,,578.0,60.46712802768166
192,2025-05-10,KAINJI,HYDRO,,760.0,49.15021929824561
193,2025-05-10,ODUKPANI NIPP,GAS,,,
194,2025-05-10,OKPAI,GAS/STEAM,,480.0,56.54513888888889
195,2025-05-10,OLORUNSOGO,GAS,,676.0,21.600098619329387
196,2025-05-10,OLORUNSOGO NIPP,GAS,,,
197,2025-05-10,OMOKU,GAS,,225.0,7.5
198,2025-05-10,OMOTOSHO,GAS,,451.0,33.15964523281597
